"method","rep","sd1","sd2","n1","delta","n2","p","width"
"Student",94,1,1,2,0,18,0.426639526927521,2.3469159590718
"Welch",94,1,1,2,0,18,0.402708529169155,4.60146304419618
"Student",95,1,1,2,0,18,0.431076246926487,3.4828033635752
"Welch",95,1,1,2,0,18,0.025975588238088,1.15598122902511
"Student",96,1,1,2,0,18,0.574552139874388,4.05770531914551
"Welch",96,1,1,2,0,18,0.642303614409908,14.8467790244994
"Student",97,1,1,2,0,18,0.836275957395888,4.05920010531499
"Welch",97,1,1,2,0,18,0.534426953662905,1.34433063985169
"Student",98,1,1,2,0,18,0.469090336961806,2.59657190433192
"Welch",98,1,1,2,0,18,0.0479748258259291,0.904915117134748
"Student",99,1,1,2,0,18,0.416009824126566,3.66833628504329
"Welch",99,1,1,2,0,18,0.030824307406144,1.30114854356938
"Student",100,1,1,2,0,18,0.780272629777253,2.82187686238637
"Welch",100,1,1,2,0,18,0.90149525745484,27.857780078608
"Student",1,1,2,2,0,18,0.811705871739381,6.01896386614272
"Welch",1,1,2,2,0,18,0.525765836592799,2.31603092736825
"Student",2,1,2,2,0,18,0.529968888169262,3.63544619242368
"Welch",2,1,2,2,0,18,0.209493871061962,2.01178917130538
"Student",3,1,2,2,0,18,0.956390770213911,6.07777594504342
"Welch",3,1,2,2,0,18,0.942439727288712,9.9150891218858
"Student",4,1,2,2,0,18,0.961080206296878,6.23488092940793
"Welch",4,1,2,2,0,18,0.885701289799015,2.11753519598461
"Student",5,1,2,2,0,18,0.338183485220385,7.37999235348249
"Welch",5,1,2,2,0,18,0.0773323688148615,4.02182686465458
"Student",6,1,2,2,0,18,0.900392205604884,5.88697301111164
"Welch",6,1,2,2,0,18,0.701346764506634,1.92398417583944
"Student",7,1,2,2,0,18,0.90310658215755,5.65780533626256
"Welch",7,1,2,2,0,18,0.709550908999836,1.85127150338894
"Student",8,1,2,2,0,18,0.948838291962503,5.57760631581064
"Welch",8,1,2,2,0,18,0.93298565057404,9.23883167558502
"Student",9,1,2,2,0,18,0.540007439975796,6.65041052817341
"Welch",9,1,2,2,0,18,0.140898043276951,2.77528744588385
"Student",10,1,2,2,0,18,0.675129885451372,6.8052104009563
"Welch",10,1,2,2,0,18,0.63444250616869,13.8851435154098
"Student",11,1,2,2,0,18,0.603225052300053,6.09152631951647
"Welch",11,1,2,2,0,18,0.507626397873496,9.14992004115931
"Student",12,1,2,2,0,18,0.928750316847293,6.06665732275575
"Welch",12,1,2,2,0,18,0.842857622831501,3.26776546492329
"Student",13,1,2,2,0,18,0.704896920701983,4.70078493614531
"Welch",13,1,2,2,0,18,0.766609372505853,19.9073351532305
"Student",14,1,2,2,0,18,0.954832945392333,5.55079031083733
"Welch",14,1,2,2,0,18,0.880713020231775,2.179383015103
"Student",15,1,2,2,0,18,0.436451558336105,5.74541557723333
